ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
36,Data not available,Data not available,4.182768500502469,4.166767139287289,4.16950011174849
37,3.5798605025710475,3.935954673189811,3.848582203414229,4.191850665591834,3.9411456232772992
39,3.047469641393073,3.45583611393914,3.2989281906549057,3.41719448156067,3.343018487491239
40,Data not available,2.7634437479739313,2.7463540521205987,2.9888335299678777,2.8080368960873185
41,2.391871541331122,3.883365256980144,3.73178755677988,3.829245370879934,3.6916676073540553
43,2.9050169148085434,3.298581333299782,3.444639930513192,3.4516078060796502,3.3805284959110726
44,1.5404761472058157,3.0531233107886346,3.498241833076506,4.1586290511994575,3.479985676394538
45,1.9987788876332424,3.4160419887844347,3.3715989434262355,3.6386204302036096,3.4318452917554714
46,4.28631638981963,4.9121158315323346,4.407111776637996,4.881926185389501,4.626351786171675
47,2.652994935737705,3.7673837689953595,3.6437479191731055,3.479326948871439,3.580498010198201
49,2.759984444488761,2.343433278453191,2.2350594291897132,2.3322414835015275,2.343022898733512
50,3.2916420211061954,3.9050877304862173,3.6680612758641336,2.848834697350699,3.60294970793985
51,Data not available,4.230945848966524,4.032319370275887,4.527049219915726,4.175372023954778
52,Data not available,4.126411468042369,3.951453193675301,3.6668836865331658,3.912909821246606
55,Data not available,Data not available,3.7385970535959987,3.4132921787625916,3.5035838172535896
56,2.370514010020412,3.1140227147616795,2.9722386920474015,3.525462141324665,3.1356506129370385
57,3.7304571852161774,4.218659584917637,3.717053914952214,4.2067040693527895,3.965931418080947
59,Data not available,3.822766227593501,3.661082860904389,3.90381639988813,3.7546126514836606
60,Data not available,4.244773069122891,3.734392706134501,3.803004867950155,3.867820486027616
61,Data not available,3.540963058880964,3.3481033070788953,3.651246255564545,3.448453837408107
63,Data not available,3.135549552925637,3.3216053996119475,3.155003895511017,3.2406648255346164
64,Data not available,3.8822376207014155,3.799767078134652,3.8977197526644707,3.8404413164016296
65,Data not available,4.878258181323423,4.317385341128106,5.283276873353585,4.654229221246918
66,Data not available,5.355468719643225,4.811851667512222,5.151103284221034,5.042181058073242
67,Data not available,4.63002628307833,3.8157057900119202,4.176331532522862,4.0205462567866785
68,Data not available,5.0890029929872895,4.730062219577042,5.341316284486375,4.962256460306861
69,Data not available,3.3156614968543345,3.38078364777864,3.3313898098734227,3.3516192408507393
70,Data not available,2.826479213237718,2.5816521079928725,2.522569483717221,2.614500895200371
71,Data not available,3.9179582021767345,3.634460306269304,4.344956215805091,3.846770038447808
72,Data not available,3.155975025441152,3.83811552271896,5.136000830566306,3.9730964987644417
73,1.6308874193483545,3.9854511369610868,4.142395272869807,3.8377185308069772,3.9272189079598587
74,Data not available,Data not available,Data not available,2.933927589011782,2.933927589011782
75,Data not available,4.41538006594414,4.257313377448094,4.5624189007613625,4.381883631683683
76,Data not available,3.13060252017761,3.0576288220315493,2.878684433930835,3.0110698735268246
77,3.644957386961274,4.181347045330414,3.4608678732741027,4.08763220628427,3.774532787182479
78,Data not available,3.598593925100863,3.4789267100385954,3.889317042549416,3.594749466902565
79,3.010903607470131,3.9025644958002905,3.6484634588388802,4.0070924302997275,3.795559554014101
80,Data not available,3.809069737277948,3.6232517513370284,3.5375962404209855,3.6271287102270144
81,Data not available,3.6800430490309415,3.781504519669614,3.900897976684292,3.800479513174206
82,1.98285536159601,3.1236808566090013,2.881515235174122,3.276654102265493,3.001126257036048
83,2.6526562204880024,3.496496786630726,3.460630256369335,3.7600218016741973,3.517123640230808
84,Data not available,4.709516234959379,4.243043830679369,4.566688558725385,4.412885063101733
86,Data not available,Data not available,3.780664455481713,3.975682536196532,3.861244918850141
87,Data not available,3.1292119479462603,3.1299381988690897,3.0886222795222964,3.1203710350041316
88,Data not available,4.026250099397511,4.114021586557043,4.0682885931037704,4.0834927574270985
90,2.775969172724563,3.7238971503681606,3.5558679356470755,3.934319453474026,3.619870777150707
96,Data not available,Data not available,2.9654783195195917,2.8570900696183723,2.877035174959392
97,Data not available,3.7252245971743965,3.534634427020014,3.5782367898313447,3.561470794158261
99,Data not available,3.223367550995647,3.279064039482697,3.2856967694042214,3.273898148353668
105,Data not available,Data not available,4.160903560894261,4.127317699999598,4.151914180882912
106,2.595031653465302,2.7415634483165556,3.0944257629689513,3.149667788673488,2.9411751521956795
108,Data not available,Data not available,3.609022381581664,3.4647542955088952,3.5528783760684206
109,Data not available,Data not available,4.356977117200242,4.571043488395534,4.42638561812304
