ID,Location,Output,Model,COP,FlowT,OutsideT,Days
1,"Selby, Yorkshire",11.2 kW,Mitsubishi Ecodan,3.72,36.1,7.4,360
59,Oxford,5 kW,Vaillant Arotherm+,3.72,34.3,6.3,328
152,Gwent,7 kW,Vaillant Arotherm+,3.71,33.0,6.6,245
215,"Faaborg, Denmark ",12 kW,Sprsun EVI,3.71,34.1,7.4,179
315,"Chatham, Kent",7 kW,	Vaillant Arotherm+,3.71,41.5,13.5,34
304,Poulton,7 kW,Vaillant Arotherm+,3.71,44.8,17.4,48
6,Manchester,5 kW,Mitsubishi Ecodan,3.70,37.5,7.1,364
41,St Albans,5 kW,Vaillant Arotherm+,3.70,36.5,7.1,355
27,Basingstoke,11 kW,Daikin Altherma 3,3.69,32.7,8.3,331
24,North Hertfordshire,5 kW,Vaillant Arotherm+,3.65,34.6,7.2,298
90,Kidlington,5 kW,Vaillant Arotherm+,3.65,33.9,6.8,365
287,Lincoln,11 kW,Clivet,3.64,36.5,7.3,244
312,Ipswich,10 kW,Viessmann Vitocal 151A,3.63,48.0,17.6,40
262,"Sawtry, Cambridgeshire",7 kW,Vaillant Arotherm+,3.63,27.4,11.1,116
337,"Elgin, Scotland ",6 kW,Maxa i32V5 ,3.63,34.1,12.0,4
283,Pembrokeshire ,3.5 kW,Vaillant Arotherm+,3.62,44.8,15.8,68
170,Devon,11.2 kW,Mitsubishi Ecodan,3.61,41.7,7.8,361
332,Newbury,10 kW,Vaillant Arotherm+,3.61,44.2,20.4,37
216,"Fetcham, Surrey",6 kW,Daikin Altherma 3 LT Split,3.61,36.2,11.8,176
252,"Silkeborg, Denmark",7.6 kW,NIBE S2125,3.60,39.0,17.0,119
47,Sheffield,13 kW,Kensa EVO 13,3.60,38.9,6.0,349
50,"Deiniolen, Gwynedd",11.2 kW,Mitsubishi Ecodan,3.60,31.3,7.7,348
80,"Whitchurch, Hampshire",6 kW,Daikin Altherma 3,3.58,30.6,7.7,316
272,Shetland,8 kW,Vaillant Arotherm+,3.58,36.2,5.1,253
44,"Farnborough, Hampshire",8 kW,Daikin Altherma 3,3.55,34.5,8.5,357
97,"Llanfrothen, Gwynedd",10 kW,Grant Aerona3,3.55,35.1,7.1,298
78,Bishop's Stortford,5 kW,Vaillant Arotherm+,3.54,34.3,8.8,318
169,"Swanage, Dorset, UK",7 kW,Vaillant Arotherm Split,3.53,27.8,9.5,205
83,Croydon,16 kW,LG Therma V,3.52,35.7,9.1,365
162,West Oxfordshire,6 kW,Daikin Altherma 3,3.51,34.4,7.9,250
197,Caversham,14 kW,Samsung HTQ ,3.50,27.3,10.8,346
212,"Edwinstowe, Nottinghamshire",6 kW,Mitsubishi Ecodan,3.49,38.2,10.7,167
11,Derby,8 kW,NIBE F1145,3.48,33.3,5.3,362
296,Manchester,7 kW,Vaillant Arotherm+,3.48,31.2,13.0,68
108,"Ely, Cambridgeshire",12 kW,Samsung Gen 6,3.48,33.4,7.6,270
118,"Medstead, Hampshire",16 kW,Midea ,3.44,35.6,7.3,255
122,Lightwater,6 kW,Mitsubishi Ecodan,3.44,38.2,8.4,252
45,Milton Keynes,16 kW,Samsung Gen 6,3.41,36.2,7.4,365
61,"Sleaford, Lincolnshire",12 kW,NIBE F2040,3.40,34.9,7.1,350
302,Dalry,8.5 kW,Mitsubishi Ecodan ,3.38,28.8,1.8,63
147,"Norfolk, United Kingdom",4 kW,Daikin Altherma 3,3.38,32.1,10.5,171
43,Edinburgh,7 kW,Vaillant Arotherm+,3.37,38.0,6.5,364
342,Ramsey,7 kW,Vaillant Arotherm+,3.36,43.8,16.0,5
39,"Fleet, Hampshire",12.12 kW,Daikin Altherma 3 H HT,3.35,39.2,7.4,335
123,Brighton & Hove,5 kW,Vaillant Arotherm+,3.34,38.5,7.6,240
281,Middlesex,12 kW,Vaillant Arotherm+,3.34,41.1,16.1,116
69,"Wrexham, North Wales",17 kW,Grant Aerona3,3.33,33.0,7.3,343
258,Hook,7 kW,Vaillant Arotherm+,3.33,38.8,14.0,107
314,"Derrygonnelly, NI",8 kW,Viessmann Vitocal 150A,3.33,41.7,14.2,41
125,"Cuffley, Hertfordshire",5 kW,Vaillant Arotherm+,3.32,35.4,9.4,252
17,Weston-super-Mare,7 kW,Daikin Altherma 3,3.32,37.2,8.9,361
306,Creswell,7 kW,Vaillant Arotherm+,3.31,46.8,13.8,47
288,Edinburgh,16 kW,Nibe F2040,3.30,36.9,14.4,65
313,York,8 kW,Viessmann Vitocal 150A,3.30,40.8,17.7,35
111,Reading UK,9 kW,Daikin Altherma 3 EDLA09D3V3,3.29,34.3,8.1,250
32,Newbury,14 kW,Mitsubishi Ecodan,3.29,37.7,7.4,364
265,Bricket Wood,4 kW,Viessmann Vitocal 151A,3.29,42.2,13.9,132
289,North Newbald,8 kW,Ideal Logic Air,3.27,40.7,4.5,134
224,Wokingham,8 kW,Daikin Altherma 3,3.25,38.1,13.5,110
31,Swansea,11.2 kW,Mitsubishi Ecodan,3.25,36.4,9.0,336
173,NE Derbyshire,12 kW,Samsung Gen 6,3.23,36.0,7.0,182
99,Saffron Walden,11.2 kW,Mitsubishi Ecodan,3.23,34.7,6.4,264
298,Uxbridge,6 kW,NIBE 2050,3.22,40.6,17.2,57
293,"Stalmine, Lancashire",9 kW,Daikin Altherma 3,3.18,31.7,14.8,64
297,Loughborough,12 kW,Vaillant Arotherm+,3.18,48.1,16.4,57
345,"Wirral, Merseyside",7 kW,Vaillant Arotherm+,3.17,47.3,14.0,2
25,"Sofia, Bulgaria",8 kW,Atlantic Alfea Extensa,3.17,37.7,4.7,264
56,"Huddersfield, West Yorkshire",8.5 kW,Mitsubishi Ecodan,3.14,39.5,6.4,364
63,"Farnham, Surrey",11 kW,Daikin Altherma,3.14,36.8,6.3,351
22,Cambridge,8 kW,Samsung HTQ ,3.11,37.0,7.3,362
14,"Malton, North Yorkshire",14 kW,Mitsubishi Ecodan,3.11,37.8,10.5,217
148,Cheltenham,9 kW,Daikin Altherma 3,3.10,31.9,11.5,220
87, (Laubeck) East riding of Yorkshire,9 kW,Daikin Altherma 3,3.08,33.6,7.5,342
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362
322,"Heathfield, East-Sussex",4 kW,Viessmann Vitocal 151A,3.06,54.5,19.0,16
266,Runcorn ,8 kW,Samsung Gen 7,3.06,39.3,14.8,106
211,"Beauly, Invernessshire",7 kW,Vaillant Arotherm+,3.06,33.7,8.2,184
120,Hertfordshire,9 kW,Daikin Altherma 3,3.05,35.7,6.7,189
127,"Berlin, Germany",10 kW,Vaillant Arotherm+,3.04,33.8,6.3,242
110,Sheffield,12 kW,LG Therma V,3.04,30.7,6.0,153
331,Perth,7 kW,Vaillant Arotherm+,3.01,43.2,14.0,41
76,Bristol UK,7 kW,Daikin Altherma 3,2.94,32.6,8.2,313
